TICKER;FECHA;APERTURA;MAXIMO;MINIMO;ULTIMO;VOLUMEN
BBVA;02/01/2017;6,263983356;6,278712899;6,18051595;6,245325936;5388636
BBVA;03/01/2017;6,284604716;6,48689043;6,25710957;6,368072122;23590000
BBVA;04/01/2017;6,387711512;6,403423024;6,239434119;6,299334258;28838270
BBVA;05/01/2017;6,267911234;6,357270458;6,242380028;6,321919556;17759670
BBVA;06/01/2017;6,33370319;6,380837725;6,259073509;6,369054092;14507210
BBVA;09/01/2017;6,387711512;6,39163939;6,274785021;6,340576976;18166650
BBVA;10/01/2017;6,347450763;6,347450763;6,229614424;6,242380028;24702540
BBVA;11/01/2017;6,215866852;6,215866852;6,010635229;6,038130374;55224040
BBVA;12/01/2017;5,99001387;6,105886269;5,926185853;6,00768932;29070110
BBVA;13/01/2017;6,048932039;6,189353675;6,02732871;6,12356172;21763310
BBVA;16/01/2017;6,053841886;6,067589459;6,000815534;6,029292649;13960500
BBVA;17/01/2017;6,009653259;6,06660749;5,981176144;6,018490985;18724000
BBVA;18/01/2017;6,048932039;6,063661581;5,983140083;6,026346741;16867260
BBVA;19/01/2017;6,054823856;6,077409154;5,978230236;6,006707351;18662790
BBVA;20/01/2017;6,02732871;6,073481276;5,99001387;6,011617198;21061270
BBVA;23/01/2017;5,962518724;6,009653259;5,901636616;5,976266297;16203840
BBVA;24/01/2017;5,999833564;6,156948682;5,983140083;6,154002774;24987260
BBVA;25/01/2017;6,235506241;6,414224688;6,225686546;6,348432732;39103490
BBVA;26/01/2017;6,404404993;6,450557559;6,271839112;6,297370319;22660080
BBVA;27/01/2017;6,289514563;6,292460472;6,16185853;6,268893204;18924580
BBVA;30/01/2017;6,223722607;6,279694868;6,185425798;6,19917337;15244890
BBVA;31/01/2017;6,209975035;6,323883495;6,157930652;6,16185853;22242570
BBVA;01/02/2017;6,304244105;6,316027739;5,990995839;6,076427184;51644040
BBVA;02/02/2017;6,039112344;6,054823856;5,955644938;6,016527046;36327780
BBVA;03/02/2017;6,058751734;6,1049043;6,009653259;6,070535368;21901320
BBVA;06/02/2017;6,10392233;6,136327323;5,99001387;6,009653259;20737360
BBVA;07/02/2017;5,99001387;6,051877947;5,941897365;5,997869626;16675620
BBVA;08/02/2017;6,044022191;6,062679612;5,809331484;5,923239945;31627020
BBVA;09/02/2017;5,9310957;5,953680999;5,847628294;5,943861304;27966480
BBVA;10/02/2017;6,006707351;6,014563107;5,842718447;5,865303745;23969400
BBVA;13/02/2017;5,89279889;5,984122053;5,837808599;5,95073509;17900620
BBVA;14/02/2017;5,961536755;6,132399445;5,927167822;6,111778086;31314020
BBVA;15/02/2017;6,245325936;6,35334258;6,235506241;6,304244105;51096870
BBVA;16/02/2017;6,284604716;6,313081831;6,167750347;6,20015534;22005150
BBVA;17/02/2017;6,208993065;6,225686546;6,067589459;6,127489598;27433820
BBVA;20/02/2017;6,183461859;6,211938974;6,119633842;6,134363384;12511180
BBVA;21/02/2017;6,109814147;6,177570042;6,034202497;6,117669903;14082380
BBVA;22/02/2017;6,118651872;6,201137309;6,004743412;6,087228849;25195180
BBVA;23/02/2017;6,105886269;6,112760055;6,003761442;6,034202497;22098750
BBVA;24/02/2017;6,048932039;6,075445215;5,898690707;5,964482663;26695930
BBVA;27/02/2017;5,980194175;6,047950069;5,97037448;6,020454924;13035920
BBVA;28/02/2017;6,043040222;6,086246879;6,004743412;6,06660749;20276260
BBVA;01/03/2017;6,107850208;6,260055479;6,10392233;6,245325936;28910840
BBVA;02/03/2017;6,247289875;6,331739251;6,197209431;6,260055479;24962420
BBVA;03/03/2017;6,255145631;6,471178918;6,225686546;6,46725104;42069050
BBVA;06/03/2017;6,436809986;6,533042996;6,413242718;6,482962552;20580210
BBVA;07/03/2017;6,473142857;6,482962552;6,411278779;6,473142857;14377580
BBVA;08/03/2017;6,480016644;6,576249653;6,457431345;6,512421637;21398800
BBVA;09/03/2017;6,488854369;6,77460749;6,487872399;6,756932039;44685710
BBVA;10/03/2017;6,772643551;6,886552011;6,69801387;6,767733703;44253760
BBVA;13/03/2017;6,77460749;6,8129043;6,688194175;6,759877947;14816610
BBVA;14/03/2017;6,77460749;6,775589459;6,650879334;6,673464632;18332260
BBVA;15/03/2017;6,670518724;6,794246879;6,670518724;6,717653259;24219390
BBVA;16/03/2017;6,85120111;6,970019417;6,806030513;6,928776699;36985860
BBVA;17/03/2017;6,958235784;7,046613037;6,928776699;6,953325936;39245960
BBVA;20/03/2017;6,915029126;7,009298197;6,893425798;6,956271845;15680500
BBVA;21/03/2017;7,034829404;7,104549237;6,959217753;6,992604716;28523570
BBVA;22/03/2017;6,935650485;7,097675451;6,844327323;7,021081831;30604770
BBVA;23/03/2017;7,040721221;7,101603329;6,976893204;7,079018031;21452800
BBVA;24/03/2017;7,059378641;7,078036061;7,005370319;7,059378641;16127960
BBVA;27/03/2017;6,939578363;7,065270458;6,916011096;7,06134258;22039090
BBVA;28/03/2017;7,08;7,157575589;7,063306519;7,134990291;19752940
BBVA;29/03/2017;7,158557559;7,183106796;6,992604716;7,053486824;23310900
BBVA;30/03/2017;7,047595007;7,085891817;6,989658807;7,08;18707980
BBVA;31/03/2017;7,050540915;7,138918169;7,012244105;7,138918169;24614740
BBVA;03/04/2017;7,146;7,162;6,935;6,946;34519400
BBVA;04/04/2017;6,949;7,01;6,847;6,982;23569680
BBVA;05/04/2017;7;7,12;6,996;7,054;27230970
BBVA;06/04/2017;6,965;7,146;6,94;7,132;24308400
BBVA;07/04/2017;7,087;7,141;7,028;7,121;18079740
BBVA;10/04/2017;7,101;7,113;7,02;7,043;16309110
BBVA;11/04/2017;6,991;7,078;6,97;7,022;20731430
BBVA;12/04/2017;7,06;7,096;6,911;6,95;22253240
BBVA;13/04/2017;6,94;6,95;6,801;6,856;21910700
BBVA;18/04/2017;6,87;6,885;6,744;6,793;20614180
BBVA;19/04/2017;6,812;6,965;6,803;6,938;18653060
BBVA;20/04/2017;6,931;7,075;6,909;7,02;24060260
BBVA;21/04/2017;7,06;7,147;6,963;7,095;33514450
BBVA;24/04/2017;7,499;7,614;7,39;7,614;66659840
BBVA;25/04/2017;7,65;7,698;7,525;7,63;35276402
BBVA;26/04/2017;7,7;7,705;7,523;7,612;26194080
BBVA;27/04/2017;7,55;7,588;7,345;7,455;34035760
BBVA;28/04/2017;7,377;7,519;7,3;7,349;31472270
BBVA;02/05/2017;7,348;7,475;7,343;7,44;16936100
BBVA;03/05/2017;7,46;7,519;7,426;7,505;18339410
BBVA;04/05/2017;7,565;7,666;7,53;7,666;25816200
BBVA;05/05/2017;7,643;7,827;7,606;7,8;27065370
BBVA;08/05/2017;7,87;7,889;7,67;7,762;21845910
BBVA;09/05/2017;7,77;7,815;7,605;7,605;22214270
BBVA;10/05/2017;7,553;7,61;7,462;7,551;24010480
BBVA;11/05/2017;7,571;7,596;7,385;7,386;27614490
BBVA;12/05/2017;7,4;7,44;7,329;7,388;23589600
BBVA;15/05/2017;7,449;7,467;7,372;7,439;12698490
BBVA;16/05/2017;7,43;7,5;7,381;7,44;13817336
BBVA;16/05/2017;7,43;7,5;7,381;7,44;13817340
BBVA;17/05/2017;7,379;7,444;7,249;7,3;22099110
BBVA;18/05/2017;7,24;7,33;7,135;7,24;30873620
BBVA;19/05/2017;7,256;7,423;7,256;7,414;24463490
BBVA;22/05/2017;7,42;7,434;7,304;7,328;16929600
BBVA;23/05/2017;7,278;7,538;7,267;7,479;19045290
